Feature,Importance,Std
ratio_L_wave_peak_amp_water__L_wave_peakamp_air,0.028923104231406378,0.006747959465924425
sq_L_Wave_RF,0.024948116031317902,0.005803138428955127
ratio_T_wave_time_ms_water__L_Wave_RF,0.02080560441502156,0.005020509653744539
L_Wave_RF,0.020560962995493114,0.004779768282930581
ratio_L_wave_time_ms_water__L_Wave_RF,0.01758325266045695,0.004247707374768224
ratio_L_wave_time_air_ms__L_Wave_RF,0.01649035292121462,0.004044519256741953
ratio_T_wave_time_air_ms__L_Wave_RF,0.01570155967378224,0.003792452404667968
ratio_L_Wave_RF__T_wave_RF,0.00380543492991214,0.001539248009863219
ratio_L_wave_peak_amp_water__L_wave_time_ms_water,0.0023725316269436305,0.0011735262829750766
dtof_L_wave,0.002112334591313943,0.0008602216982173942
ratio_L_wave_peak_amp_water__T_wave_time_ms_water,0.001971292289475879,0.0010201008842186602
T_wave_RF,0.0019063636200269888,0.0008073408729584817
ratio_T_wave_time_ms_water__T_wave_RF,0.0018798608413979326,0.000769205131369796
L_wave_peak_amp_water,0.001794908907111988,0.0009200976558575713
ratio_L_wave_peak_amp_water__T_wave_time_air_ms,0.00171568042105981,0.0009122008275027363
ratio_T_wave_peak_amp_water__dtof_L_wave,0.0015181840999812382,0.0005637990696994843
ratio_L_wave_peak_amp_water__L_wave_time_air_ms,0.001514603719905705,0.0008406094935585896
ratio_T_wave_peak_amp_water__T_wave_peakamp_air,0.0013296734508266147,0.000608640095059249
ratio_L_wave_time_air_ms__T_wave_RF,0.0013285503836093133,0.0007990001787635565
ratio_L_wave_time_ms_water__T_wave_RF,0.0012662249282217376,0.0006711796325259812
ratio_L_wave_peak_amp_water__dtof_L_wave,0.0011485227219429832,0.0004747393121354294
ratio_T_wave_time_air_ms__T_wave_RF,0.001133687747820311,0.000552120709088135
sq_L_wave_time_ms_water,0.0010863459870880665,0.0006895345388099013
ratio_T_wave_peakamp_air__dtof_L_wave,0.0009681712867445569,0.0003165410086418696
L_wave_time_ms_water,0.0009393776337048631,0.0005585164587324846
sq_dtof_L_wave,0.000910445467802734,0.0003992041435156186
ratio_L_wave_peak_amp_water__T_wave_RF,0.0008691724783624011,0.0006474326166657587
ratio_L_wave_peakamp_air__L_Wave_RF,0.0007976266057088936,0.00029710429512539794
ratio_L_wave_time_ms_water__L_wave_time_air_ms,0.0007757456739627466,0.00043117924134278605
ratio_L_wave_peakamp_air__dtof_L_wave,0.000566188830942993,0.00019974899195913872
ratio_T_wave_RF__dtof_L_wave,0.0005373340083706675,0.0001744954037001216
interact_L_Wave_RF__dtof_L_wave,0.0005033582183800566,0.0002887344115030141
ratio_L_Wave_RF__dtof_L_wave,0.00047421279212458425,0.00023615476647615455
ratio_T_wave_peak_amp_water__L_wave_peakamp_air,0.0004195040299310726,0.0002753696783442745
ratio_T_wave_peak_amp_water__T_wave_time_air_ms,0.00037158151000917796,0.00022079486160502828
ratio_T_wave_time_air_ms__dtof_L_wave,0.0002985311551198744,0.00015565036011412563
ratio_T_wave_peak_amp_water__T_wave_time_ms_water,0.00029829915620408485,0.00020102436344746535
ratio_T_wave_time_ms_water__L_wave_time_air_ms,0.0002677278710349581,0.0001842858738178967
ratio_L_wave_time_ms_water__dtof_L_wave,0.00023529669480565712,0.00016457226619189712
ratio_T_wave_peak_amp_water__L_wave_time_air_ms,0.00022034556077786814,0.0001247296170682878
dtof_T_wave,0.00018242019209101142,0.00011660356531544423
ratio_L_wave_time_air_ms__dtof_L_wave,0.00017721326440088835,0.00014929135123202604
T_wave_time_ms_water,0.0001524762645265354,7.732075668370944e-05
T_wave_peak_amp_water,0.00014964881396816915,0.0001111482756720928
ratio_L_wave_peak_amp_water__T_wave_peak_amp_water,0.0001377539022442087,0.00011628580414260843
ratio_L_wave_time_ms_water__T_wave_time_ms_water,0.0001319678586786462,0.00019856560092169266
ratio_L_wave_time_ms_water__T_wave_peakamp_air,0.00012870689585863976,6.332990845891036e-05
ratio_L_wave_time_ms_water__T_wave_time_air_ms,0.00011502990250797188,0.00012428516150326507
ratio_T_wave_time_ms_water__T_wave_peakamp_air,0.00010899264101888277,5.5301337943746376e-05
ratio_L_wave_peakamp_air__T_wave_RF,0.00010071722741924101,8.576214379796951e-05
L_wave_peakamp_air,9.743092768211836e-05,5.5761276672305316e-05
ratio_T_wave_peakamp_air__T_wave_RF,9.546021151230303e-05,6.394178339877118e-05
ratio_T_wave_peakamp_air__L_Wave_RF,7.007177201065659e-05,6.562766089704006e-05
ratio_L_wave_peak_amp_water__T_wave_peakamp_air,6.783056034783685e-05,0.00014891195921333994
ratio_L_wave_time_air_ms__dtof_T_wave,6.260757598404905e-05,6.262210954116023e-05
ratio_L_wave_peak_amp_water__dtof_T_wave,6.085928687298662e-05,3.213369474890317e-05
ratio_T_wave_time_ms_water__dtof_L_wave,5.648850135057115e-05,8.69453216285014e-05
ratio_T_wave_time_ms_water__T_wave_time_air_ms,4.9857387939422625e-05,0.00010429272373321988
T_wave_time_air_ms,4.2321901954989195e-05,3.2354175381461445e-05
ratio_L_wave_time_ms_water__dtof_T_wave,4.134227754272561e-05,7.164481007520809e-05
ratio_L_wave_time_ms_water__T_wave_peak_amp_water,3.702117389033551e-05,9.440431579194404e-05
L_wave_time_air_ms,3.559630694089562e-05,4.461698994960228e-05
ratio_L_Wave_RF__dtof_T_wave,2.8802045295965122e-05,6.589979961521496e-05
ratio_T_wave_peak_amp_water__T_wave_RF,2.7544264558672833e-05,2.9554845268378476e-05
ratio_T_wave_peakamp_air__T_wave_time_air_ms,2.753886253671345e-05,3.5802505051581015e-05
ratio_T_wave_peak_amp_water__L_Wave_RF,2.682911214589856e-05,7.325809545054887e-05
ratio_L_wave_peakamp_air__dtof_T_wave,2.4623670951451348e-05,3.689989177070395e-05
freq_khz,1.6575948991674285e-05,3.393008804123552e-05
ratio_T_wave_time_ms_water__L_wave_peakamp_air,1.5125984152615976e-05,3.031846593176606e-05
ratio_L_wave_time_air_ms__T_wave_peakamp_air,9.266612919608026e-06,2.1482007037305758e-05
T_wave_peakamp_air,5.40211756298777e-06,4.0846319098434865e-05
ratio_L_wave_peakamp_air__T_wave_peakamp_air,-4.209746706466492e-06,5.7631198088490805e-05
ratio_T_wave_time_air_ms__dtof_T_wave,-5.457165600775138e-06,5.250170094449392e-05
ratio_L_wave_time_air_ms__T_wave_time_air_ms,-5.8798618671381435e-06,4.322911295078741e-05
ratio_L_wave_time_ms_water__L_wave_peakamp_air,-7.27923055588997e-06,3.176149537869839e-05
ratio_T_wave_peakamp_air__dtof_T_wave,-8.320117721534921e-06,8.016376602867189e-05
ratio_L_wave_peakamp_air__L_wave_time_air_ms,-2.2639868024872576e-05,3.3142667364025345e-05
ratio_L_wave_peak_amp_water__L_Wave_RF,-3.088181179601301e-05,6.566418921791223e-05
ratio_T_wave_RF__dtof_T_wave,-3.391376832480401e-05,5.4187351233491735e-05
ratio_T_wave_time_ms_water__dtof_T_wave,-4.070263989914095e-05,5.76924988397828e-05
ratio_L_wave_peakamp_air__T_wave_time_air_ms,-5.286504134503674e-05,3.0289131307545174e-05
ratio_T_wave_peak_amp_water__dtof_T_wave,-7.597715006550562e-05,5.660351395519755e-05
